PRD,Q#,Question,Status,Evidence (PRD ID),Gap,Owner
PRD 1 — Sending an Invitation,Q1,"Which document is authoritative for invitation authority: Owner-only, or Owner + Admin?",Partially Answered,"INV-1.1 — Owner or Admin can invite; Users-list note defers full contract to roles/permissions module","Backend auth contract not formalized","PM / Security"
PRD 1 — Sending an Invitation,Q3,"What is the exact expiry cutoff rule: timezone, calendar boundary, and job execution tolerance?",Partially Answered,"INV-1.14 — expires 7 calendar days; INV-1.15 — resend restarts 7-day clock","Timezone and DST edge undefined","Dev / Platform"
PRD 1 — Sending an Invitation,Q4,"Is invitation resend rate-limited, and what thresholds apply?",Open,Not defined in PRD,"No rate limit, retry cap, or abuse control specified","Security / PM"
PRD 1 — Sending an Invitation,Q7,What retention policy source governs invitation audit metadata permanently?,Partially Answered,INV-1.10 — permanently records … regardless of outcome,Full data-retention policy framework not referenced,"Compliance / Dev"
PRD 1 — Sending an Invitation,Q9,Does role change on pending invitation intentionally send no recipient notification?,Answered,"INV-1.17 — does not send a new email; the recipient sees the current role when they open the invitation",None — rule is explicit,"PM / Security"
PRD 1 — Sending an Invitation,Q10,What is the definitive release/module boundary for this feature set?,Open,Not defined in PRD,Release identifier missing,PM
PRD 1 — Sending an Invitation,Q11,Where is the explicit permission contract defined for Admin vs Owner in backend enforcement?,Partially Answered,"INV-1.1, UC-1.9 — Admin invite is permitted; note says permissions module owns this",Backend contract deferred,"Security / Dev"
PRD 1 — Sending an Invitation,Q21,When PRD text and prototype copy diverge which is authoritative?,Open,Not defined in PRD,No source-of-truth tie-break rule,"PM / Design"
PRD 1 — Sending an Invitation,Q24,What are the minimum observability events required for invitation lifecycle?,Open,Not defined in PRD,No telemetry/audit event specification,"Dev / QA"
PRD 1 — Sending an Invitation,Q25,What regression pack is mandatory before release for this flow?,Open,Not defined in PRD,No release regression scope defined,QA
PRD 2 — Accepting an Invitation,Q5,Should the no-access screen include a support/escalation path?,Answered,"INV-2.23 — The screen states that the person has no business access. It offers no action.",None — rule is explicit,PM
PRD 2 — Accepting an Invitation,Q6,What exact identity matching algorithm enforces one person one APEX account?,Partially Answered,"INV-2.13 — identity-based uniqueness principle stated; Document 2 note — identified by their verified identity rather than by an email address","Matching algorithm and collision resolution logic not specified","Dev / Data"
PRD 2 — Accepting an Invitation,Q13,For existing verified users what exact prerequisites must be true for immediate access after accept?,Answered,"INV-2.9 — existing account with verified identity gains access immediately; INV-2.10 — previous member gains access immediately; INV-2.21 — resume path for partway users",None — all three paths covered,QA
PRD 2 — Accepting an Invitation,Q14,"Is Nafath required for invited users always, by role, or never?",Partially Answered,"INV-2.6 — new users complete mobile number, one-time code, identity details, and Nafath; INV-2.9 — existing verified user skips all verification","Not normalized as a global policy across role/risk tiers","PM / Security"
PRD 2 — Accepting an Invitation,Q15,What is the exact algorithm for matching one person one account across email/mobile/identity?,Open,Not defined in PRD,Implementation-level specification missing,Dev
PRD 2 — Accepting an Invitation,Q16,What happens when identity match confidence is ambiguous or conflicting across sources?,Open,Not defined in PRD,Fallback path and escalation depth unspecified,"Dev / Support"
PRD 2 — Accepting an Invitation,Q22,Is Figma or prototype the design source of truth when they conflict with PRD wording?,Open,Not defined in PRD,No precedence rule established,"PM / Design"
PRD 2 — Accepting an Invitation,Q23,What support path exists for no-business-access users if the screen has no action?,Answered,"INV-2.23 — screen shows message only; UC-2.21 — You do not currently have access to any business. No action offered","No gap within PRD scope; support escalation path is a product decision","PM / Support"
PRD 3 — Users List & Access Changes,Q2,What are the exact allowed and forbidden status transitions among the six states?,Partially Answered,"INV-3.4 — six statuses defined; INV-3.9, INV-3.12, INV-3.13 describe some transitions","Full state machine with forbidden transitions not formalized","Dev / QA"
PRD 3 — Users List & Access Changes,Q8,What list performance targets apply for large businesses in the single Users list view?,Open,Not defined in PRD,"No pagination, latency, or scaling NFR","Dev / PM"
PRD 3 — Users List & Access Changes,Q17,How quickly must access revocation terminate active sessions after removal (SLA)?,Answered,"INV-3.12 — ends their access immediately, including any session they currently have open; UC-3.9 — session stops working at once",SLA defined as immediate; propagation latency budget still missing,Dev
PRD 3 — Users List & Access Changes,Q18,Are pending invitations sent by a removed user revoked in the same transaction as removal?,Partially Answered,"INV-3.13 — withdraws any invitations they had sent that are still pending; UC-3.8 — lists this as part of the same removal outcome",Transactionality / atomicity guarantee not explicitly stated,Dev
PRD 3 — Users List & Access Changes,Q19,Where is historical transition data accessible for audit when the list shows current state only?,Partially Answered,INV-3.18 — list shows each person's current standing … not a history,Audit-history retrieval mechanism not defined,"Dev / Compliance"
PRD 3 — Users List & Access Changes,Q20,What list performance targets and scalability requirements exist?,Open,Not defined in PRD,"No pagination defaults, latency target, or member-count scale spec","Dev / PM"
PRD 3 — Users List & Access Changes,Q24,What observability events are required for role-change and removal actions?,Open,Not defined in PRD,No event/monitoring specification,"Dev / QA"
PRD 4 — Access Management Matrix,Q1,If Admin invitation authority is confirmed where is the backend enforcement contract?,Partially Answered,"Matrix row — Add Admins & Members: Owner Yes, Admin Yes, Member No",Per-action API authorization model not linked,"Security / Dev"
PRD 4 — Access Management Matrix,Q11,Where is the per-module permission operation matrix with API enforcement mapping?,Partially Answered,"Matrix — All platform modules … Owner Full access, Admin Full access, Member View only","Granular per-endpoint mapping and denial response missing","Dev / Security"
PRD 4 — Access Management Matrix,Q12,If Owner-only ends up as the final invite rule which PRD sections require updates?,Open,"Conflict between Matrix (Owner+Admin can add) and Onboarding alignment (Owner-only per FR-E-024)",Cross-PRD authority not resolved,PM
PRD 4 — Access Management Matrix,Q14,How are financing-role constraints tied to invitation acceptance and access activation?,Partially Answered,"Matrix — Apply for financing: Owner Yes, Admin No, Member No",Interaction with invited-user access activation timeline not specified,"PM / Dev"
PRD 4 — Access Management Matrix,Q24,What audit/event model covers role-based access actions across matrix rows?,Open,Not defined in PRD,No event or compliance trace specification,"Dev / QA"
